2.78	2.79	2.86	0.12	0.27	3.81	3.10	1.34	3.87	0.93
0.44	1.89	2.17	4.05	3.45	1.43	3.50	0.81	1.31	3.36
1.28	1.92	3.05	1.44	2.61	2.80	2.74	1.31	0.66	3.89
0.38	0.95	1.28	2.35	2.99	2.31	0.94	4.01	1.29	2.34
1.78	0.97	1.00	3.32	1.63	0.14	2.65	2.82	0.05	3.43
0.62	3.23	2.98	0.60	1.02	1.17	2.02	1.28	3.25	0.75
0.25	0.79	1.66	2.98	3.90	3.58	0.88	2.94	2.80	3.06
3.80	4.03	1.36	1.10	2.26	3.71	0.92	2.44	2.64	0.56
3.40	2.20	2.59	1.55	2.22	3.50	3.97	2.16	1.86	2.04
2.52	3.46	3.53	3.00	2.85	2.40	2.55	3.21	3.31	2.98
