1.02	3.14	0.65	1.97	2.26	3.49	2.15	0.96	4.11	3.64
3.65	1.24	3.51	3.30	2.75	0.93	1.72	1.13	2.40	0.56
0.69	4.11	0.45	3.41	2.48	2.27	2.27	1.20	1.76	2.21
1.27	1.52	1.81	3.03	0.91	2.54	1.66	3.66	1.49	1.27
1.59	1.68	0.20	0.39	0.22	0.48	3.97	2.07	0.71	1.76
1.62	0.70	3.51	0.35	1.18	1.10	3.13	0.65	2.29	1.89
0.37	3.84	1.16	0.39	0.93	2.09	4.15	1.12	3.05	1.20
3.01	3.73	0.49	1.58	2.54	3.20	3.53	1.61	2.72	3.64
2.29	4.20	0.70	2.40	2.49	1.33	3.70	0.54	2.69	2.55
3.68	0.96	0.71	1.22	2.45	3.48	0.29	4.17	4.17	0.45
